Date,interval_returns,realized_variance,realized_volatility
2024-07-01,13,1.1822581728481022e-05,0.003438398134085264
2024-07-02,13,8.932347756674252e-06,0.002988703357088865
2024-07-03,8,4.883009807425812e-06,0.0022097533363309605
2024-07-05,13,5.16310300252322e-06,0.002272246246013671
2024-07-08,13,5.603315579400123e-06,0.0023671323535873787
2024-07-09,13,5.6059028688531144e-06,0.0023676787934289387
2024-07-10,13,1.3249617492067947e-05,0.003640002402755793
2024-07-11,13,4.110936625345971e-05,0.0064116586195351755
2024-07-12,13,4.9506712084829046e-05,0.007036100630663908
2024-07-15,13,1.4549580185877974e-05,0.0038143911946571466
2024-07-16,13,1.4183273236707809e-05,0.0037660686712681977
2024-07-17,13,1.8396219386879487e-05,0.0042890814152775755
2024-07-18,13,6.654552396855632e-05,0.008157543991211835
2024-07-19,13,4.300427473552762e-05,0.006557764461729898
2024-07-22,13,2.3388804235060184e-05,0.004836197290750263
2024-07-23,13,2.5457192055596047e-05,0.00504551207070165
2024-07-24,13,1.375484304362728e-05,0.003708752221924145
2024-07-25,13,0.00016836609508483525,0.012975596136009907
2024-07-26,13,4.066316052286597e-05,0.006376767247035599
2024-07-29,13,2.217438217342645e-05,0.004708968270590326
2024-07-30,13,5.632424287971535e-05,0.007504947893204546
2024-07-31,13,6.673312524697577e-05,0.008169034535792817
2024-08-01,13,0.0001346409284164023,0.011603487769476999
2024-08-02,13,0.00010437845240244588,0.010216577333062471
2024-08-05,13,0.0002160900245443337,0.014700000834841258
2024-08-06,13,0.00019382041060687666,0.013921939900993564
2024-08-07,13,0.0001284291918308232,0.011332660403930897
2024-08-08,13,5.634602625858877e-05,0.007506399020741488
2024-08-09,13,4.94377436205809e-05,0.007031197879492576
2024-08-12,13,7.704678058102815e-05,0.008777629553645343
2024-08-13,13,1.605612458042212e-05,0.0040070094310373314
2024-08-14,13,3.560158368474381e-05,0.005966706267677655
2024-08-15,13,7.497059011158294e-06,0.002738075786233517
2024-08-16,13,1.1786573385646377e-05,0.003433157931940559
2024-08-19,13,1.4938281019109997e-05,0.003865007246967332
2024-08-20,13,2.4178207597519427e-05,0.004917134083744252
2024-08-21,13,1.742314638897411e-05,0.0041741042618715345
2024-08-22,13,6.885639408430899e-05,0.008297975300295187
2024-08-23,13,7.5751368036487e-05,0.008703526184052473
2024-08-26,13,2.407804074421745e-05,0.0049069380212325335
2024-08-27,13,1.1546998282260266e-05,0.0033980874447636375
2024-08-28,13,6.215895041509357e-05,0.00788409477461386
2024-08-29,13,3.97861598076327e-05,0.006307627113870374
2024-08-30,13,3.703733663830592e-05,0.006085830809208051
2024-09-03,13,4.4206656913056155e-05,0.0066488086837459956
2024-09-04,13,3.0837355698926364e-05,0.005553139265219842
2024-09-05,13,8.371671742016491e-05,0.009149684006574484
2024-09-06,13,7.427849518047148e-05,0.00861849726927331
2024-09-09,13,4.0481752924722035e-05,0.006362527243534761
2024-09-10,13,5.5367771523951734e-05,0.007440952326413047
2024-09-11,13,0.00011121123434085385,0.01054567372626585
2024-09-12,13,3.992390468587555e-05,0.006318536593696008
2024-09-13,13,1.4236196114364129e-05,0.003773088405320518
2024-09-16,13,9.900399707828939e-06,0.0031464900616129297
2024-09-17,13,3.2210072552440216e-05,0.0056753918413128285
2024-09-18,13,8.988731205160274e-05,0.009480891943883905
2024-09-19,13,2.8979092602511473e-05,0.005383223254009764
2024-09-20,13,1.96515364217271e-05,0.004433005348714019
2024-09-23,13,6.288843804284135e-06,0.0025077567274925483
2024-09-24,13,1.1601297894031594e-05,0.0034060678052604287
2024-09-25,13,3.841707986850095e-06,0.001960027547472253
2024-09-26,13,2.1795356225735142e-05,0.004668549691899524
2024-09-27,13,1.5890453871497415e-05,0.0039862832151638964
2024-09-30,13,5.6297151660263713e-05,0.007503142785544183
2024-10-01,13,6.654008559476429e-05,0.008157210650385601
2024-10-02,13,2.0573147860625112e-05,0.004535763205969323
2024-10-03,13,3.0961803597397695e-05,0.0055643331673613594
2024-10-04,13,3.898203707400873e-05,0.006243559647669647
2024-10-07,13,3.374860557470735e-05,0.005809355005050677
2024-10-08,13,7.000866916896563e-06,0.0026459151378864297
2024-10-09,13,1.6244012255901933e-05,0.004030386117470873
2024-10-10,13,1.1423916988294844e-05,0.003379928547809087
2024-10-11,13,2.1812463092105238e-05,0.004670381471797057
2024-10-14,13,4.159957176972202e-06,0.0020395973075517143
2024-10-15,13,1.683042498691947e-05,0.004102490095895354
2024-10-16,13,1.7607825352936006e-05,0.0041961679366936695
2024-10-17,13,1.7725891312870916e-05,0.004210212739621469
2024-10-18,13,5.810767819560881e-06,0.0024105534259918158
2024-10-21,13,2.7380767413004297e-05,0.0052326635103935645
2024-10-22,13,1.0793223922592723e-05,0.003285304235925909
2024-10-23,13,3.8092539382499305e-05,0.0061719153738932055
2024-10-24,13,6.477544294446502e-06,0.0025451020204397506
2024-10-25,13,2.4755511595123323e-05,0.004975491090849558
2024-10-28,13,9.614147588103451e-06,0.0031006688936588266
2024-10-29,13,1.1667080887635454e-05,0.0034157108905227113
2024-10-30,13,1.2220787525369386e-05,0.003495824298412234
2024-10-31,13,3.692096863929177e-05,0.0060762627197391466
2024-11-01,13,4.39665368818467e-05,0.006630726723508269
2024-11-04,13,2.387326884962955e-05,0.004886027921495082
2024-11-05,13,9.789307077336728e-06,0.0031287868379512094
2024-11-06,13,4.2684985840817454e-05,0.006533374766597846
2024-11-07,13,7.841328621827873e-06,0.002800237243847005
2024-11-08,13,5.218161637017737e-06,0.002284329581522276
2024-11-11,13,6.952920068882871e-06,0.002636839029763264
2024-11-12,13,2.9031022681392287e-05,0.005388044420881502
