date,first_timestamp,last_timestamp,n_price_observations,n_intraday_returns,rv,session_return,is_regular_close,is_model_eligible,quality_flag
2010-01-04,2010-01-04,2010-01-04,390,389,1.9002659716013662e-05,0.009613667877201072,True,True,eligible_regular_session
2010-01-05,2010-01-05,2010-01-05,390,389,1.7296408172434035e-05,0.002722816491124642,True,True,eligible_regular_session
2010-01-06,2010-01-06,2010-01-06,390,389,2.1134412157536952e-05,0.0017870116333710351,True,True,eligible_regular_session
2010-01-07,2010-01-07,2010-01-07,390,389,2.823398245508616e-05,0.005878054240017417,True,True,eligible_regular_session
2010-01-08,2010-01-08,2010-01-08,390,389,2.4941518474158616e-05,0.005106051197488218,True,True,eligible_regular_session
2010-01-11,2010-01-11,2010-01-11,390,389,2.3473748696971584e-05,-0.0015508066429763435,True,True,eligible_regular_session
2010-01-12,2010-01-12,2010-01-12,390,389,3.787054330797436e-05,-0.005004268452348776,True,True,eligible_regular_session
2010-01-13,2010-01-13,2010-01-13,390,389,3.425256072504483e-05,0.006611319326057279,True,True,eligible_regular_session
2010-01-14,2010-01-14,2010-01-14,390,389,2.0935769416056748e-05,0.0030175932754162842,True,True,eligible_regular_session
2010-01-15,2010-01-15,2010-01-15,390,389,4.0708322766906725e-05,-0.010219584799169035,True,True,eligible_regular_session
2010-01-19,2010-01-19,2010-01-19,390,389,2.0762257624951793e-05,0.012737354104940047,True,True,eligible_regular_session
2010-01-20,2010-01-20,2010-01-20,390,389,4.5079194734049917e-05,-0.0048829548982749155,True,True,eligible_regular_session
2010-01-21,2010-01-21,2010-01-21,390,389,0.0001194927572738247,-0.020837227492347274,True,True,eligible_regular_session
2010-01-22,2010-01-22,2010-01-22,390,389,0.00013021910589955849,-0.02008066820878125,True,True,eligible_regular_session
2010-01-25,2010-01-25,2010-01-25,390,389,7.487129698593314e-05,-0.0013662199735131597,True,True,eligible_regular_session
2010-01-26,2010-01-26,2010-01-26,390,389,7.475883901096082e-05,-0.0007779501863590296,True,True,eligible_regular_session
2010-01-27,2010-01-27,2010-01-27,389,388,0.00014988173701401585,0.005868175224828714,True,True,eligible_regular_session
2010-01-28,2010-01-28,2010-01-28,390,389,0.00011942204809139593,-0.013134101593136023,True,True,eligible_regular_session
2010-01-29,2010-01-29,2010-01-29,390,389,0.00013644184233239015,-0.014740145927081703,True,True,eligible_regular_session
2010-02-01,2010-02-01,2010-02-01,390,389,6.0788765886983196e-05,0.009289777554279696,True,True,eligible_regular_session
2010-02-02,2010-02-02,2010-02-02,390,389,5.335001757023609e-05,0.010993328827846264,True,True,eligible_regular_session
2010-02-03,2010-02-03,2010-02-03,390,389,5.966668078981853e-05,-0.0018213945985766195,True,True,eligible_regular_session
2010-02-04,2010-02-04,2010-02-04,390,389,0.00011770079801487075,-0.025750184300895155,True,True,eligible_regular_session
2010-02-05,2010-02-05,2010-02-05,390,389,0.00023419870422190244,0.0015393427044014323,True,True,eligible_regular_session
2010-02-08,2010-02-08,2010-02-08,390,389,0.0001026589347101798,-0.00824702245819535,True,True,eligible_regular_session
2010-02-09,2010-02-09,2010-02-09,390,389,0.00015589638067257093,0.004193506220279727,True,True,eligible_regular_session
2010-02-10,2010-02-10,2010-02-10,390,389,0.00010759864000075523,0.0002621698313722375,True,True,eligible_regular_session
2010-02-11,2010-02-11,2010-02-11,390,389,9.568405188907506e-05,0.01120945786808238,True,True,eligible_regular_session
2010-02-12,2010-02-12,2010-02-12,390,389,0.00011869077926342351,0.005393258940620753,True,True,eligible_regular_session
2010-02-16,2010-02-16,2010-02-16,390,389,3.347639244270507e-05,0.01075432245228077,True,True,eligible_regular_session
2010-02-17,2010-02-17,2010-02-17,390,389,4.5108213475778595e-05,0.0012376802358963143,True,True,eligible_regular_session
2010-02-18,2010-02-18,2010-02-18,390,389,3.604019471742242e-05,0.007083769219428646,True,True,eligible_regular_session
2010-02-19,2010-02-19,2010-02-19,390,389,3.7045851909184704e-05,0.004528964589665348,True,True,eligible_regular_session
2010-02-22,2010-02-22,2010-02-22,390,389,3.3616301883818255e-05,-0.003199800827400769,True,True,eligible_regular_session
2010-02-23,2010-02-23,2010-02-23,390,389,6.911585001375718e-05,-0.01020783397965411,True,True,eligible_regular_session
2010-02-24,2010-02-24,2010-02-24,390,389,5.592672164866707e-05,0.006918557817999655,True,True,eligible_regular_session
2010-02-25,2010-02-25,2010-02-25,390,389,8.40733633276653e-05,0.007899280272798058,True,True,eligible_regular_session
2010-02-26,2010-02-26,2010-02-26,390,389,4.694031564428339e-05,0.0012137462767932285,True,True,eligible_regular_session
2010-03-01,2010-03-01,2010-03-01,390,389,2.4232437682528927e-05,0.006628467214715238,True,True,eligible_regular_session
2010-03-02,2010-03-02,2010-03-02,390,389,2.761277511942057e-05,-0.0005186582962986532,True,True,eligible_regular_session
2010-03-03,2010-03-03,2010-03-03,390,389,2.655239694218821e-05,-0.00126869555819743,True,True,eligible_regular_session
2010-03-04,2010-03-04,2010-03-04,390,389,2.648630029565211e-05,0.0022025163949311484,True,True,eligible_regular_session
2010-03-05,2010-03-05,2010-03-05,390,389,2.013806839099903e-05,0.009761513660582267,True,True,eligible_regular_session
2010-03-08,2010-03-08,2010-03-08,390,389,1.5066677065155204e-05,-0.0007201068176853212,True,True,eligible_regular_session
2010-03-09,2010-03-09,2010-03-09,390,389,2.4914389620815312e-05,0.003716349607469583,True,True,eligible_regular_session
2010-03-10,2010-03-10,2010-03-10,390,389,3.3664560631581396e-05,0.0038577493596389394,True,True,eligible_regular_session
2010-03-11,2010-03-11,2010-03-11,390,389,2.615370648106605e-05,0.005878316929470386,True,True,eligible_regular_session
2010-03-12,2010-03-12,2010-03-12,390,389,2.5629971604647413e-05,-0.002605434670562348,True,True,eligible_regular_session
2010-03-15,2010-03-15,2010-03-15,390,389,2.6518744542255552e-05,0.0020102608359731868,True,True,eligible_regular_session
2010-03-16,2010-03-16,2010-03-16,390,389,3.2069392485650175e-05,0.005717538789519547,True,True,eligible_regular_session
2010-03-17,2010-03-17,2010-03-17,390,389,2.1338468770901143e-05,0.0034616823281484097,True,True,eligible_regular_session
2010-03-18,2010-03-18,2010-03-18,390,389,2.007115251239279e-05,-0.00013727895964095566,True,True,eligible_regular_session
2010-03-19,2010-03-19,2010-03-19,390,389,3.2911224847923426e-05,-0.005908195326016587,True,True,eligible_regular_session
2010-03-22,2010-03-22,2010-03-22,390,389,3.2510213560129046e-05,0.009938580343253824,True,True,eligible_regular_session
2010-03-23,2010-03-23,2010-03-23,390,389,3.306144870968479e-05,0.005919780155366698,True,True,eligible_regular_session
2010-03-24,2010-03-24,2010-03-24,390,389,3.6269917141391825e-05,-0.003035215072929218,True,True,eligible_regular_session
2010-03-25,2010-03-25,2010-03-25,390,389,4.5357452309316e-05,-0.007153846091500149,True,True,eligible_regular_session
2010-03-26,2010-03-26,2010-03-26,390,389,4.4643021997296657e-05,-0.0014130041529724494,True,True,eligible_regular_session
2010-03-29,2010-03-29,2010-03-29,390,389,2.386750480416942e-05,0.0027226461463227716,True,True,eligible_regular_session
2010-03-30,2010-03-30,2010-03-30,390,389,2.5908183488261182e-05,-0.0007753028116082811,True,True,eligible_regular_session
2010-03-31,2010-03-31,2010-03-31,390,389,3.403763637999724e-05,-0.0005727156708795798,True,True,eligible_regular_session
2010-04-01,2010-04-01,2010-04-01,390,389,3.044612037763195e-05,0.0024395335336738324,True,True,eligible_regular_session
2010-04-05,2010-04-05,2010-04-05,390,389,1.4976291287509597e-05,0.00532857191261124,True,True,eligible_regular_session
2010-04-06,2010-04-06,2010-04-06,390,389,1.4322876736664328e-05,0.0042545189388765526,True,True,eligible_regular_session
2010-04-07,2010-04-07,2010-04-07,390,389,3.548613962154001e-05,-0.004345613346103031,True,True,eligible_regular_session
2010-04-08,2010-04-08,2010-04-08,390,389,2.54920216215275e-05,0.006120518552809233,True,True,eligible_regular_session
2010-04-09,2010-04-09,2010-04-09,390,389,2.3330996214018964e-05,0.0044726659187922305,True,True,eligible_regular_session
2010-04-12,2010-04-12,2010-04-12,390,389,1.9041625591099285e-05,0.0007942978198174188,True,True,eligible_regular_session
2010-04-13,2010-04-13,2010-04-13,390,389,1.6771300282417623e-05,0.0013373232129669634,True,True,eligible_regular_session
2010-04-14,2010-04-14,2010-04-14,390,389,1.264293017480578e-05,0.007320695119007926,True,True,eligible_regular_session
2010-04-15,2010-04-15,2010-04-15,390,389,1.7502086515927597e-05,0.0019000575733453412,True,True,eligible_regular_session
2010-04-16,2010-04-16,2010-04-16,390,389,0.00010528262981988803,-0.013908777565374559,True,True,eligible_regular_session
2010-04-19,2010-04-19,2010-04-19,390,389,6.186180425525156e-05,0.005695682502667341,True,True,eligible_regular_session
2010-04-20,2010-04-20,2010-04-20,390,389,2.9244383507508126e-05,0.003974993512271754,True,True,eligible_regular_session
2010-04-21,2010-04-21,2010-04-21,390,389,4.04270897873574e-05,-0.0020708571634459345,True,True,eligible_regular_session
