forecast_origin_date,target_date,split,target_rv,session_return,rv_d,rv_w,rv_m,log_rv_d,log_rv_w,log_rv_m,n_intraday_returns,quality_flag
2010-02-03,2010-02-04,train,0.0001177007980148,-0.0018213945985766,5.966668078981853e-05,8.593387093412756e-05,5.966293041372805e-05,-9.726736804090788,-9.36193250012521,-9.7267996615166,389,eligible_regular_session
2010-02-04,2010-02-05,train,0.0002341987042219,-0.0257501843008951,0.0001177007980148,8.558962091882757e-05,6.414920942730925e-05,-9.04736476364626,-9.365946533116345,-9.65429879079292,389,eligible_regular_session
2010-02-05,2010-02-08,train,0.0001026589347101,0.0015393427044014,0.0002341987042219,0.00010514099329674755,7.400840470228498e-05,-8.359340639600335,-9.16020831524507,-9.511331894151585,389,eligible_regular_session
2010-02-08,2010-02-09,train,0.0001558963806725,-0.0082470224581953,0.0001026589347101,0.00011351502706137091,7.771406481831056e-05,-9.184098377760105,-9.083575332790044,-9.46247430257913,389,eligible_regular_session
2010-02-09,2010-02-10,train,0.0001075986400007,0.0041935062202797,0.0001558963806725,0.0001340242996818237,8.351690110092029e-05,-8.766318997869197,-8.917489433544505,-9.390461538195025,389,eligible_regular_session
2010-02-10,2010-02-11,train,9.568405188907506e-05,0.0002621698313722,0.0001075986400007,0.00014361069152399997,8.727404298849035e-05,-9.137102549715166,-8.848404450611927,-9.346457470504618,389,eligible_regular_session
2010-02-11,2010-02-12,train,0.0001186907792634,0.0112094578680823,9.568405188907506e-05,0.00013920734229885503,9.055632949722234e-05,-9.254458920319623,-8.879546065055177,-9.309538475501059,389,eligible_regular_session
2010-02-12,2010-02-16,train,3.347639244270507e-05,0.0053932589406207,0.0001186907792634,0.00011610575730715502,9.422997658610531e-05,-9.038988940381985,-9.061009081281018,-9.269772204221653,389,eligible_regular_session
2010-02-16,2010-02-17,train,4.5108213475778595e-05,0.0107543224522807,3.347639244270507e-05,0.00010226924885367602,9.419469620963531e-05,-10.304670070756105,-9.18790152791102,-9.270146681474115,389,eligible_regular_session
2010-02-17,2010-02-18,train,3.604019471742242e-05,0.0012376802358963,4.5108213475778595e-05,8.011161541433174e-05,9.52934436668954e-05,-10.006446211057355,-9.432089702988222,-9.258549546450416,389,eligible_regular_session
2010-02-18,2010-02-19,train,3.7045851909184704e-05,0.0070837692194286,3.604019471742242e-05,6.579992635767622e-05,9.50812560282825e-05,-10.23087572242457,-9.62889183881788,-9.260778705333594,389,eligible_regular_session
2010-02-19,2010-02-22,train,3.3616301883818255e-05,0.0045289645896653,3.7045851909184704e-05,5.407228636169816e-05,9.582141940483853e-05,-10.203354171756354,-9.825188770247077,-9.253024313377116,389,eligible_regular_session
